Sexe,Âge,Type de contenu,Influence qualité visuelle sur likes,Influence visages sur likes,Impact commentaires partages sur likes,Influence réactivité auteur sur likes,Influence hashtags sur likes,Influence notifications sur likes,Influence événements spécifiques sur likes,Influence mises à jour sur likes,Types contenu plus engageants,Heure idéale pour plus de likes,Conseils pour augmenter les likes
"Femme","18-24 ans","Photo/image, Vidéo","Oui","Non","Impact très positif","Oui","Oui","Oui, souvent","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","6h-9h",""
"Femme","18-24 ans","Photo/image","Oui","Oui","Impact modéré","Oui","Non","Oui, souvent","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","18h-20h",""
"Homme","25-34 ans","Vidéo","Non","Non","Aucun impact","Oui","Non","Parfois","Non","Oui, négativement","Contenu humoristique ou divertissant","12h-14h",""
"Femme","18-24 ans","Vidéo","Oui","Non","Peu d’impact","Oui","Oui","Parfois","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","Nuit","Plus de créativité "
"Femme","25-34 ans","Photo/image","Oui","Oui","Impact modéré","Oui","Non","Parfois","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","12h-14h",""
"Femme","35-44 ans","Photo/image, Vidéo, Infographie, Citation / Texte","Oui","Non","Aucun impact","Oui","Non","Parfois","Oui","oui, positivement","Contenu motivant ou inspirant","Nuit","Ok"
"Femme","18-24 ans","Vidéo","Non","Non","Peu d’impact","Non","Oui","Parfois","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","12h-14h, Nuit","Ajouter des réactions ou bien des #"
"Femme","25-34 ans","Photo/image, Vidéo, Citation / Texte","Non","Oui","Impact modéré","Oui","Oui","Parfois","Oui","Non,aucun impact","Contenu humoristique ou divertissant","Nuit","Je recommande de publier tout ce qui est utile pour obtenir des lies"
"Femme","18-24 ans","Photo/image, Vidéo, Infographie, Citation / Texte","Oui","Non","Impact modéré","Oui","Non","Parfois","Oui","Non,aucun impact","Contenu humoristique ou divertissant","Nuit",""
"Femme","18-24 ans","Vidéo","Oui","Oui","Impact très positif","Oui","Non","Jamais","Non","oui, positivement","Contenu motivant ou inspirant","Nuit","Utilisez des visuels de qualité.
Publiez aux moments où votre audience est active.
Ajoutez des hashtags pertinents.
Rédigez une légende engageante.
Interagissez avec vos abonnés"
"Femme","Moins de 18 ans","Vidéo","Oui","Non","Impact modéré","Oui","Non","Jamais","Oui","oui, positivement","Contenu humoristique ou divertissant","18h-20h",""
"Femme","Moins de 18 ans","Vidéo","Oui","Non","Impact modéré","Oui","Oui","Parfois","Oui","Non,aucun impact","Contenu humoristique ou divertissant","18h-20h, Nuit","ان يكون المحتوى ترفيهي في نفس الوقت الهامي او تحفيزي اي يؤثر بشكل ايجابي على الفرد او المجتمع"
"Femme","Moins de 18 ans","Vidéo","Oui","Non","Impact modéré","Oui","Non","Parfois","Oui","oui, positivement","Contenu humoristique ou divertissant","18h-20h","ان يكون المحتوى يؤثر بشكل ايجابي على الفرد لا بشكل سلبي"
"Femme","18-24 ans","Photo/image","Oui","Oui","Impact très positif","Oui","Oui","Parfois","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","Nuit","Une publication bien présentée"
"Femme","Moins de 18 ans","Vidéo","Oui","Non","Aucun impact","Oui","Non","Oui, souvent","Oui","Non,aucun impact","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","Nuit",""
"Homme","18-24 ans","Photo/image","Oui","Oui","Peu d’impact","Oui","Non","Parfois","Oui","Non,aucun impact","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","18h-20h, Nuit","The quality matters "
"Femme","18-24 ans","Vidéo, Citation / Texte","Oui","Oui","Impact très positif","Oui","Non","Parfois","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","6h-9h, 12h-14h, 18h-20h, Nuit","Le contenu le plus attirant "
"Femme","45 ans et plus","Photo/image, Vidéo, Citation / Texte","Oui","Non","Aucun impact","Oui","Non","Jamais","Oui","Non,aucun impact","Contenu motivant ou inspirant","18h-20h","Mettre un contenu comedic"
"Femme","18-24 ans","Photo/image","Non","Non","Impact modéré","Non","Non","Parfois","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","6h-9h",""
"Homme","Moins de 18 ans","Photo/image, Vidéo","Oui","Oui","Impact très positif","Oui","Oui","Oui, souvent","Oui","oui, positivement","Contenu humoristique ou divertissant","6h-9h, 12h-14h, 18h-20h","Like"
"Femme","25-34 ans","Vidéo","Non","Non","Peu d’impact","Oui","Oui","Parfois","Oui","Non,aucun impact","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","18h-20h",""
"Homme","18-24 ans","Photo/image, Vidéo, Citation / Texte","Oui","Non","Peu d’impact","Non","Non","Jamais","Oui","Non,aucun impact","Contenu motivant ou inspirant","Nuit","Il faut bien choisir le public le moin intelligent pour qu'il puisse fait un like sur un poste, car les intelligents ne mettent pas un like quelque soit le poste"
"Femme","18-24 ans","Vidéo","Oui","Oui","Peu d’impact","Oui","Oui","Parfois","Oui","oui, positivement","Contenu motivant ou inspirant","Nuit","Publier du contenu visuel attractif "
"Femme","18-24 ans","Photo/image","Oui","Oui","Aucun impact","Oui","Non","Parfois","Oui","oui, positivement","Contenu motivant ou inspirant","18h-20h, Nuit",""
"Femme","25-34 ans","Vidéo","Oui","Oui","Impact modéré","Non","Oui","Jamais","Non","Non,aucun impact","Contenu humoristique ou divertissant","18h-20h, Nuit","منشورات تؤثر بشكل ايجابي على الفرد والمجتمع "
"Homme","18-24 ans","Vidéo, Infographie","Oui","Oui","Impact très positif","Oui","Non","Oui, souvent","Oui","oui, positivement","Contenu humoristique ou divertissant","18h-20h","Travailler sur la qualité du contenu "
"Femme","18-24 ans","Photo/image","Oui","Oui","Impact très positif","Oui","Oui","Oui, souvent","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","Nuit","Utilisez des images ou des vidéos de haute qualité qui captent l'attention des utilisateurs"
"Femme","18-24 ans","Vidéo","Oui","Non","Impact très positif","Oui","Oui","Parfois","Oui","oui, positivement","Contenu motivant ou inspirant","18h-20h",""
"Homme","18-24 ans","Photo/image","Oui","Non","Impact très positif","Oui","Oui","Oui, souvent","Oui","Non,aucun impact","Contenu humoristique ou divertissant","Nuit",""
"Femme","18-24 ans","Photo/image, Vidéo","Oui","Non","Aucun impact","Non","Non","Oui, souvent","Non","Non,aucun impact","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","18h-20h",""
"Homme","18-24 ans","Photo/image","Oui","Oui","Impact modéré","Oui","Oui","Oui, souvent","Oui","oui, positivement","Contenu humoristique ou divertissant","18h-20h, Nuit",""
"Femme","Moins de 18 ans","Photo/image, Vidéo","Non","Non","Peu d’impact","Oui","Non","Parfois","Oui","Oui, négativement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","Nuit",""
"Femme","45 ans et plus","Infographie","Non","Oui","Peu d’impact","Oui","Oui","Jamais","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","Nuit",""
"Femme","18-24 ans","Photo/image, Vidéo","Oui","Non","Impact modéré","Non","Oui","Parfois","Oui","oui, positivement","Contenu motivant ou inspirant","6h-9h","Proposez un post intéressant, utile ou divertissant pour capter l'attention des utilisateurs, et les images, vidéos de qualité attirent plus d'interactions qu' un simple texte. "
"Femme","35-44 ans","Photo/image, Vidéo, Citation / Texte","Oui","Non","Impact modéré","Oui","Oui","Oui, souvent","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","12h-14h","Analyser les heures où votre audience est la plus active pour maximiser la visibilité."
"Femme","25-34 ans","Vidéo","Oui","Oui","Impact très positif","Oui","Oui","Parfois","Oui","oui, positivement","Contenu humoristique ou divertissant","Nuit","Oui"
"Homme","25-34 ans","Photo/image","Oui","Oui","Impact très positif","Oui","Oui","Parfois","Non","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","18h-20h, Nuit","Faire plusieurs publications "
"Femme","18-24 ans","Photo/image, Vidéo, Citation / Texte","Oui","Oui","Impact très positif","Oui","Non","Parfois","Oui","Non,aucun impact","Contenu motivant ou inspirant","Nuit",""
"Femme","18-24 ans","Photo/image","Oui","Oui","Impact modéré","Oui","Oui","Oui, souvent","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","18h-20h",""
"Femme","18-24 ans","Photo/image","Oui","Oui","Impact très positif","Non","Non","Parfois","Oui","Non,aucun impact","Contenu humoristique ou divertissant","Nuit",""
"Femme","18-24 ans","Vidéo","Oui","Oui","Impact modéré","Oui","Oui","Oui, souvent","Oui","oui, positivement","Contenu humoristique ou divertissant","18h-20h, Nuit",""
"Femme","18-24 ans","Photo/image, Vidéo","Oui","Non","Impact très positif","Oui","Oui","Parfois","Oui","Non,aucun impact","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","18h-20h, Nuit","Selon le public"
"Femme","18-24 ans","Photo/image","Oui","Oui","Impact très positif","Oui","Oui","Oui, souvent","Oui","Non,aucun impact","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","18h-20h",""
"Femme","18-24 ans","Photo/image, Vidéo, Citation / Texte","Oui","Non","Peu d’impact","Non","Oui","Oui, souvent","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","Nuit",""
"Femme","18-24 ans","Photo/image, Vidéo","Oui","Non","Impact très positif","Oui","Oui","Parfois","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","6h-9h",""
"Femme","45 ans et plus","Vidéo","Non","Oui","Impact très positif","Oui","Non","Oui, souvent","Oui","oui, positivement","Contenu suscitant des émotions fortes (joie, surprise, inspiration)","12h-14h","Non rien merci beaucoup "
